action_id,agent_id,action_type,order_id,customer_id,reference_id,action_timestamp,outcome,policy_id,incident_id,details
ACT000001,A002,GET_ORDER,ORD01001,CUST05001,,2026-06-05 11:08:47,SUCCESS,,,
ACT000002,A002,UPDATE_RECORD,ORD01001,CUST05001,,2026-06-05 11:12:01,SUCCESS,,,
ACT000003,A002,SEND_MESSAGE,ORD01001,CUST05001,,2026-06-05 11:12:28,SUCCESS,,,
ACT000004,A001,GET_ORDER,ORD01002,CUST05002,,2026-05-30 14:01:35,SUCCESS,,,
ACT000005,A001,CHECK_DELIVERY,ORD01002,CUST05002,,2026-05-30 14:04:26,SUCCESS,,,
ACT000006,A001,CHECK_ELIGIBILITY,ORD01002,CUST05002,,2026-05-30 14:06:18,SUCCESS,,,
ACT000007,A001,CALCULATE_REFUND,ORD01002,CUST05002,,2026-05-30 14:08:53,SUCCESS,,,
ACT000008,A001,REFUND,ORD01002,CUST05002,,2026-05-30 14:12:40,FAILED,,,refund_amount=728.15
ACT000009,A002,GET_ORDER,ORD01003,CUST05003,,2026-05-20 11:48:21,SUCCESS,,,
ACT000010,A002,CHECK_ELIGIBILITY,ORD01003,CUST05003,,2026-05-20 11:50:03,SUCCESS,,,
ACT000011,A002,CANCEL_ORDER,ORD01003,CUST05003,,2026-05-20 11:53:44,SUCCESS,,,
ACT000012,A002,SEND_MESSAGE,ORD01003,CUST05003,,2026-05-20 11:54:56,SUCCESS,,,
ACT000013,A005,GET_ORDER,ORD01004,CUST05004,,2026-06-18 09:18:53,SUCCESS,,,
ACT000014,A005,SEND_MESSAGE,ORD01004,CUST05004,,2026-06-18 09:22:44,SUCCESS,,,
ACT000015,A004,GET_ORDER,ORD01005,CUST05005,,2026-05-06 16:49:18,SUCCESS,,,
ACT000016,A004,CHECK_ELIGIBILITY,ORD01005,CUST05005,,2026-05-06 16:53:01,SUCCESS,,,
ACT000017,A004,PAYMENT,ORD01005,CUST05005,,2026-05-06 16:53:31,SUCCESS,,,payment_amount=1371.16
ACT000018,A008,GET_ORDER,ORD01006,CUST05006,,2026-06-15 11:17:44,SUCCESS,,,
ACT000019,A008,APPLY_DISCOUNT,ORD01006,CUST05006,,2026-06-15 11:20:34,SUCCESS,,,
ACT000020,A008,SEND_MESSAGE,ORD01006,CUST05006,,2026-06-15 11:23:21,SUCCESS,,,
ACT000021,A004,GET_ORDER,ORD01007,CUST05007,,2026-06-18 12:59:40,SUCCESS,,,
ACT000022,A004,CHECK_ELIGIBILITY,ORD01007,CUST05007,,2026-06-18 13:00:41,SUCCESS,,,
ACT000023,A004,PAYMENT,ORD01007,CUST05007,,2026-06-18 13:04:21,SUCCESS,,,payment_amount=186.7
ACT000024,A009,GET_ORDER,ORD01008,CUST05008,,2026-06-21 12:13:58,SUCCESS,,,
ACT000025,A009,CHECK_DELIVERY,ORD01008,CUST05008,,2026-06-21 12:17:47,SUCCESS,,,
ACT000026,A009,CHECK_ELIGIBILITY,ORD01008,CUST05008,,2026-06-21 12:18:46,SUCCESS,,,
ACT000027,A009,CALCULATE_REFUND,ORD01008,CUST05008,,2026-06-21 12:20:32,SUCCESS,,,
ACT000028,A009,REFUND,ORD01008,CUST05008,,2026-06-21 12:23:21,SUCCESS,,,refund_amount=249.42
ACT000029,A005,GET_ORDER,ORD01009,CUST05009,,2026-07-14 13:37:25,SUCCESS,,,
ACT000030,A005,CHECK_ELIGIBILITY,ORD01009,CUST05009,,2026-07-14 13:38:05,SUCCESS,,,
ACT000031,A005,UPDATE_RECORD,ORD01009,CUST05009,,2026-07-14 13:38:33,SUCCESS,,,
ACT000032,A005,SEND_MESSAGE,ORD01009,CUST05009,,2026-07-14 13:42:18,SUCCESS,,,
ACT000033,A003,GET_ORDER,ORD01010,CUST05010,,2026-06-24 15:24:24,SUCCESS,,,
ACT000034,A003,CHECK_DELIVERY,ORD01010,CUST05010,,2026-06-24 15:26:28,SUCCESS,,,
ACT000035,A003,SHIP,ORD01010,CUST05010,,2026-06-24 15:28:54,SUCCESS,,,
ACT000036,A003,SEND_MESSAGE,ORD01010,CUST05010,,2026-06-24 15:29:01,SUCCESS,,,
ACT000037,A005,GET_ORDER,ORD01011,CUST05011,,2026-06-13 10:27:10,SUCCESS,,,
ACT000038,A005,CHECK_ELIGIBILITY,ORD01011,CUST05011,,2026-06-13 10:30:19,SUCCESS,,,
ACT000039,A005,UPDATE_RECORD,ORD01011,CUST05011,,2026-06-13 10:31:31,SUCCESS,,,
ACT000040,A005,SEND_MESSAGE,ORD01011,CUST05011,,2026-06-13 10:34:51,SUCCESS,,,
ACT000041,A007,GET_ORDER,ORD01012,CUST05012,,2026-06-08 18:32:38,SUCCESS,,,
ACT000042,A007,UPDATE_RECORD,ORD01012,CUST05012,,2026-06-08 18:34:18,SUCCESS,,,
ACT000043,A007,SEND_MESSAGE,ORD01012,CUST05012,,2026-06-08 18:36:41,SUCCESS,,,
ACT000044,A001,GET_ORDER,ORD01013,CUST05013,,2026-07-02 07:59:23,SUCCESS,,,
ACT000045,A001,CHECK_DELIVERY,ORD01013,CUST05013,,2026-07-02 08:03:00,SUCCESS,,,
ACT000046,A001,CHECK_ELIGIBILITY,ORD01013,CUST05013,,2026-07-02 08:04:06,SUCCESS,,,
ACT000047,A001,CALCULATE_REFUND,ORD01013,CUST05013,,2026-07-02 08:07:55,SUCCESS,,,
ACT000048,A001,REFUND,ORD01013,CUST05013,,2026-07-02 08:08:20,SUCCESS,,,refund_amount=445.1
ACT000049,A005,GET_ORDER,ORD01014,CUST05014,,2026-05-17 16:35:10,SUCCESS,,,
ACT000050,A005,CHECK_ELIGIBILITY,ORD01014,CUST05014,,2026-05-17 16:38:58,SUCCESS,,,
ACT000051,A005,UPDATE_RECORD,ORD01014,CUST05014,,2026-05-17 16:39:57,SUCCESS,,,
ACT000052,A005,SEND_MESSAGE,ORD01014,CUST05014,,2026-05-17 16:43:15,SUCCESS,,,
ACT000053,A006,GET_ORDER,ORD01015,CUST05015,,2026-06-17 13:33:28,SUCCESS,,,
ACT000054,A006,CHECK_DELIVERY,ORD01015,CUST05015,,2026-06-17 13:34:30,SUCCESS,,,
ACT000055,A006,RETURN,ORD01015,CUST05015,,2026-06-17 13:34:40,SUCCESS,,,
ACT000056,A006,UPDATE_RECORD,ORD01015,CUST05015,,2026-06-17 13:35:43,SUCCESS,,,
ACT000057,A007,GET_ORDER,ORD01016,CUST05016,,2026-05-08 11:57:02,SUCCESS,,,
ACT000058,A007,UPDATE_RECORD,ORD01016,CUST05016,,2026-05-08 11:57:25,SUCCESS,,,
ACT000059,A007,SEND_MESSAGE,ORD01016,CUST05016,,2026-05-08 11:58:41,SUCCESS,,,
ACT000060,A005,GET_ORDER,ORD01017,CUST05017,,2026-07-13 15:15:50,SUCCESS,,,
ACT000061,A005,CHECK_ELIGIBILITY,ORD01017,CUST05017,,2026-07-13 15:17:39,SUCCESS,,,
ACT000062,A005,UPDATE_RECORD,ORD01017,CUST05017,,2026-07-13 15:18:08,SUCCESS,,,
ACT000063,A005,SEND_MESSAGE,ORD01017,CUST05017,,2026-07-13 15:19:43,SUCCESS,,,
ACT000064,A001,GET_ORDER,ORD01018,CUST05018,,2026-05-13 09:46:21,SUCCESS,,,
ACT000065,A001,CHECK_DELIVERY,ORD01018,CUST05018,,2026-05-13 09:46:53,SUCCESS,,,
ACT000066,A001,CHECK_ELIGIBILITY,ORD01018,CUST05018,,2026-05-13 09:47:46,SUCCESS,,,
ACT000067,A001,CALCULATE_REFUND,ORD01018,CUST05018,,2026-05-13 09:48:26,SUCCESS,,,
ACT000068,A001,REFUND,ORD01018,CUST05018,,2026-05-13 09:49:42,SUCCESS,,,refund_amount=788.92
ACT000069,A005,GET_ORDER,ORD01019,CUST05019,,2026-07-10 09:41:34,SUCCESS,,,
ACT000070,A005,SEND_MESSAGE,ORD01019,CUST05019,,2026-07-10 09:42:02,SUCCESS,,,
ACT000071,A004,GET_ORDER,ORD01020,CUST05020,,2026-07-02 14:55:25,SUCCESS,,,
ACT000072,A004,CHECK_ELIGIBILITY,ORD01020,CUST05020,,2026-07-02 14:56:12,SUCCESS,,,
ACT000073,A004,PAYMENT,ORD01020,CUST05020,,2026-07-02 14:57:56,SUCCESS,,,payment_amount=2356.53
ACT000074,A006,GET_ORDER,ORD01021,CUST05021,,2026-07-11 16:31:09,SUCCESS,,,
ACT000075,A006,CHECK_DELIVERY,ORD01021,CUST05021,,2026-07-11 16:32:09,SUCCESS,,,
ACT000076,A006,RETURN,ORD01021,CUST05021,,2026-07-11 16:34:42,SUCCESS,,,
ACT000077,A006,UPDATE_RECORD,ORD01021,CUST05021,,2026-07-11 16:35:02,SUCCESS,,,
ACT000078,A001,GET_ORDER,ORD01022,CUST05022,,2026-07-04 19:33:10,SUCCESS,,,
ACT000079,A001,CHECK_DELIVERY,ORD01022,CUST05022,,2026-07-04 19:35:25,SUCCESS,,,
ACT000080,A001,CHECK_ELIGIBILITY,ORD01022,CUST05022,,2026-07-04 19:36:17,SUCCESS,,,
ACT000081,A001,CALCULATE_REFUND,ORD01022,CUST05022,,2026-07-04 19:36:39,SUCCESS,,,
ACT000082,A001,REFUND,ORD01022,CUST05022,,2026-07-04 19:37:44,SUCCESS,,,refund_amount=848.31
ACT000083,A004,GET_ORDER,ORD01023,CUST05023,,2026-05-06 16:26:42,SUCCESS,,,
ACT000084,A004,CHECK_ELIGIBILITY,ORD01023,CUST05023,,2026-05-06 16:29:00,SUCCESS,,,
ACT000085,A004,PAYMENT,ORD01023,CUST05023,,2026-05-06 16:30:11,SUCCESS,,,payment_amount=2154.25
ACT000086,A006,GET_ORDER,ORD01024,CUST05024,,2026-06-08 14:59:48,SUCCESS,,,
ACT000087,A006,CHECK_DELIVERY,ORD01024,CUST05024,,2026-06-08 14:59:55,SUCCESS,,,
ACT000088,A006,RETURN,ORD01024,CUST05024,,2026-06-08 15:02:24,SUCCESS,,,
ACT000089,A006,UPDATE_RECORD,ORD01024,CUST05024,,2026-06-08 15:02:47,SUCCESS,,,
ACT000090,A006,GET_ORDER,ORD01025,CUST05025,,2026-06-14 19:56:15,SUCCESS,,,
ACT000091,A006,CHECK_DELIVERY,ORD01025,CUST05025,,2026-06-14 19:57:00,SUCCESS,,,
ACT000092,A006,RETURN,ORD01025,CUST05025,,2026-06-14 19:59:24,SUCCESS,,,
ACT000093,A006,UPDATE_RECORD,ORD01025,CUST05025,,2026-06-14 20:02:05,SUCCESS,,,
ACT000094,A005,GET_ORDER,ORD01026,CUST05026,,2026-07-10 12:42:06,SUCCESS,,,
ACT000095,A005,CHECK_ELIGIBILITY,ORD01026,CUST05026,,2026-07-10 12:42:45,SUCCESS,,,
ACT000096,A005,UPDATE_RECORD,ORD01026,CUST05026,,2026-07-10 12:46:37,SUCCESS,,,
ACT000097,A005,SEND_MESSAGE,ORD01026,CUST05026,,2026-07-10 12:49:03,SUCCESS,,,
ACT000098,A004,GET_ORDER,ORD01027,CUST05027,,2026-05-27 16:54:16,SUCCESS,,,
ACT000099,A004,CHECK_ELIGIBILITY,ORD01027,CUST05027,,2026-05-27 16:55:25,SUCCESS,,,
ACT000100,A004,PAYMENT,ORD01027,CUST05027,,2026-05-27 16:59:06,SUCCESS,,,payment_amount=1910.17
ACT000101,A006,GET_ORDER,ORD01028,CUST05028,,2026-06-12 17:40:16,SUCCESS,,,
ACT000102,A006,CHECK_DELIVERY,ORD01028,CUST05028,,2026-06-12 17:42:14,SUCCESS,,,
ACT000103,A006,RETURN,ORD01028,CUST05028,,2026-06-12 17:44:08,SUCCESS,,,
ACT000104,A006,UPDATE_RECORD,ORD01028,CUST05028,,2026-06-12 17:44:41,SUCCESS,,,
ACT000105,A003,GET_ORDER,ORD01029,CUST05029,,2026-06-17 15:09:27,SUCCESS,,,
ACT000106,A003,CHECK_DELIVERY,ORD01029,CUST05029,,2026-06-17 15:10:50,SUCCESS,,,
ACT000107,A003,SHIP,ORD01029,CUST05029,,2026-06-17 15:14:18,SUCCESS,,,
ACT000108,A003,SEND_MESSAGE,ORD01029,CUST05029,,2026-06-17 15:14:33,SUCCESS,,,
ACT000109,A004,GET_ORDER,ORD01030,CUST05030,,2026-06-15 17:56:55,SUCCESS,,,
ACT000110,A004,CHECK_ELIGIBILITY,ORD01030,CUST05030,,2026-06-15 17:59:38,SUCCESS,,,
